Date,Primary Type,Location Description,Arrest,Ward,Year,Latitude,Longitude
08/25/2024 06:12:00 AM,DECEPTIVE PRACTICE,OTHER (SPECIFY),false,7,2024,41.75804287,-87.56003667
08/25/2024 06:00:00 PM,BATTERY,RESIDENCE,false,3,2024,41.86512009,-87.62846427
08/25/2024 11:11:00 AM,CRIMINAL DAMAGE,RESIDENCE - YARD (FRONT / BACK),false,8,2024,41.76157203,-87.59209513
08/25/2024 08:00:00 AM,THEFT,RESIDENCE,false,9,2024,41.69993455,-87.60623128
08/25/2024 06:00:00 PM,MOTOR VEHICLE THEFT,ALLEY,false,1,2024,41.90203618,-87.67478336
08/25/2024 09:30:00 PM,MOTOR VEHICLE THEFT,STREET,false,9,2024,41.69576702,-87.62798408
08/25/2024 02:20:00 PM,ROBBERY,APARTMENT,false,7,2024,41.75539829,-87.56344385
08/26/2024 12:00:00 AM,DECEPTIVE PRACTICE,APARTMENT,false,17,2024,41.75127558,-87.67073422
08/25/2024 05:19:00 PM,ASSAULT,APARTMENT,false,20,2024,41.7774224,-87.64080538
08/25/2024 05:00:00 PM,MOTOR VEHICLE THEFT,STREET,false,36,2024,41.89573155,-87.6876338
08/25/2024 08:30:00 PM,THEFT,GAS STATION,false,28,2024,41.86844745,-87.64222859
08/25/2024 03:48:00 PM,THEFT,DEPARTMENT STORE,false,39,2024,41.97537028,-87.74402343
05/25/2024 09:00:00 AM,DECEPTIVE PRACTICE,RESIDENCE,false,3,2024,41.8321451,-87.62178837
08/25/2024 05:00:00 PM,ROBBERY,STREET,false,20,2024,41.79037135,-87.63288839
08/25/2024 03:55:00 AM,BATTERY,STREET,false,14,2024,41.79359842,-87.69898294
08/25/2024 07:00:00 PM,BURGLARY,APARTMENT,false,20,2024,41.78124671,-87.59137728
08/25/2024 01:20:00 PM,BURGLARY,RESIDENCE - GARAGE,false,46,2024,41.9664345,-87.6507713
08/25/2024 10:50:00 PM,ASSAULT,APARTMENT,false,11,2024,41.8312869,-87.64855071
08/25/2024 01:30:00 AM,MOTOR VEHICLE THEFT,STREET,false,43,2024,41.92910207,-87.6470609
08/25/2024 07:00:00 AM,CRIMINAL DAMAGE,STREET,false,27,2024,41.89636778,-87.64917085
08/25/2024 09:00:00 AM,ASSAULT,STREET,false,46,2024,41.96493707,-87.65000042
08/25/2024 10:25:00 AM,CRIMINAL DAMAGE,STREET,false,46,2024,41.96434342,-87.65679804
08/17/2024 05:24:00 PM,OTHER OFFENSE,APARTMENT,false,24,2024,41.85107434,-87.70644996
08/25/2024 11:37:00 AM,OTHER OFFENSE,RESIDENCE,true,9,2024,41.69758754,-87.61838156
08/25/2024 03:00:00 PM,BATTERY,SIDEWALK,false,27,2024,41.89587761,-87.70656663
08/25/2024 07:08:00 PM,PUBLIC PEACE VIOLATION,STREET,true,17,2024,41.76565599,-87.6832691
08/25/2024 01:00:00 AM,THEFT,GAS STATION,false,49,2024,42.01291539,-87.67468582
08/25/2024 12:26:00 PM,BATTERY,SMALL RETAIL STORE,false,26,2024,41.90294087,-87.69503287
08/25/2024 07:55:00 AM,THEFT,VEHICLE NON-COMMERCIAL,false,35,2024,41.93284557,-87.72088325
08/25/2024 03:10:00 PM,OTHER OFFENSE,STREET,false,5,2024,41.77786096,-87.59148597
08/25/2024 08:04:00 PM,THEFT,RESTAURANT,true,42,2024,41.89262841,-87.63115524
08/26/2024 12:00:00 AM,BATTERY,STREET,false,28,2024,41.88049015,-87.74592789
08/25/2024 03:00:00 PM,THEFT,VACANT LOT / LAND,false,19,2024,41.68693759,-87.72015681
08/25/2024 09:00:00 PM,BURGLARY,RESTAURANT,false,16,2024,41.7792114,-87.68690854
08/25/2024 04:40:00 PM,CRIMINAL TRESPASS,RESIDENCE - GARAGE,false,7,2024,41.76312848,-87.55969337
08/25/2024 01:15:00 PM,THEFT,DEPARTMENT STORE,true,46,2024,41.96307079,-87.65598421
08/25/2024 09:27:00 PM,BATTERY,RESTAURANT,false,15,2024,41.80856468,-87.66917584
08/25/2024 01:00:00 AM,BATTERY,BAR OR TAVERN,false,27,2024,41.88424955,-87.65014845
08/25/2024 09:24:00 PM,PUBLIC PEACE VIOLATION,STREET,true,16,2024,41.77244922,-87.64620382
08/25/2024 04:10:00 AM,CRIMINAL DAMAGE,APARTMENT,false,30,2024,41.93973818,-87.739522
08/25/2024 03:10:00 AM,ROBBERY,STREET,false,7,2024,41.75702248,-87.55807346
08/25/2024 08:00:00 AM,THEFT,RESIDENCE - PORCH / HALLWAY,false,4,2024,41.84162265,-87.61719144
08/25/2024 09:15:00 PM,BATTERY,APARTMENT,false,28,2024,41.87695523,-87.73628476
08/25/2024 06:03:00 AM,THEFT,GAS STATION,false,24,2024,41.86623545,-87.72051715
08/25/2024 08:00:00 PM,MOTOR VEHICLE THEFT,STREET,false,28,2024,41.88486975,-87.74911212
08/24/2024 12:08:00 AM,BATTERY,APARTMENT,true,45,2024,41.96690311,-87.76499463
08/25/2024 08:00:00 PM,BATTERY,APARTMENT,false,37,2024,41.90120003,-87.75330146
07/28/2024 06:49:00 PM,BATTERY,ALLEY,false,28,2024,41.87424874,-87.73405182
08/25/2024 07:30:00 PM,BATTERY,APARTMENT,false,41,2024,41.97784823,-87.84646896
08/25/2024 08:00:00 PM,THEFT,STREET,false,18,2024,41.74912934,-87.68708216
08/25/2024 05:50:00 AM,ROBBERY,STREET,false,4,2024,41.8097631,-87.59019365
09/08/21 16:45,HOMICIDE,CAR WASH,true,24,2021,41.87319145,-87.74344656
11/19/2010 09:00:00 AM,ROBBERY,RESIDENCE,true,17,2010,41.75535325,-87.65144019
03/20/2023 09:00:00 PM,MOTOR VEHICLE THEFT,PARKING LOT / GARAGE (NON RESIDENTIAL),false,33,2023,41.96590645,-87.70839577
09/01/23 1:30,SEX OFFENSE,STREET,false,22,2023,41.80714552,-87.74192176
09/01/23 3:41,SEX OFFENSE,STREET,false,14,2023,41.80399509,-87.74138957
09/01/23 13:09,BATTERY,RESIDENCE,false,10,2023,41.65483427,-87.60755843
09/01/23 2:10,SEX OFFENSE,STREET,false,22,2023,41.80764654,-87.74115789
07/30/2023 09:00:00 AM,DECEPTIVE PRACTICE,APARTMENT,false,7,2023,41.75293545,-87.5490632
11/10/23 22:30,MOTOR VEHICLE THEFT,STREET,false,50,2023,41.99278515,-87.71893317
11/10/23 3:40,DECEPTIVE PRACTICE,HOSPITAL BUILDING / GROUNDS,false,20,2023,41.77809913,-87.63382853
10/18/2023 03:04:00 PM,THEFT,APARTMENT,false,20,2023,41.77414036,-87.59970777
11/10/23 19:54,BATTERY,APARTMENT,false,48,2023,41.9733392,-87.65313205
